power,war_name,start_year,end_year,duration,outcome,primary_enemy,enemy_modern_equiv,enemy_type,posture,home_away,self_capital,enemy_capital,distance_km
Denmark,Thirty Years' War,1625,1629,4,Lost,Habsburg Empire,Austria,European,Offensive,Away,Copenhagen,Vienna,870
Denmark,Torstenson War,1643,1645,2,Lost,Sweden,Sweden,European,Defensive,Home,Copenhagen,Stockholm,521
Denmark,Dano-Swedish War of 1657,1657,1658,1,Lost,Sweden,Sweden,European,Defensive,Home,Copenhagen,Stockholm,521
Denmark,Dano-Swedish War of 1658,1658,1660,2,Won,Sweden,Sweden,European,Defensive,Home,Copenhagen,Stockholm,521
Denmark,Scanian War,1675,1679,4,Indecisive,Sweden,Sweden,European,Offensive,Away,Copenhagen,Stockholm,521
Denmark,Great Northern War,1700,1721,21,Won,Sweden,Sweden,European,Offensive,Away,Copenhagen,Stockholm,521
Denmark,Dano-Algerian War,1770,1772,2,Lost,Regency of Algiers,Algeria,Colonial / Eastern,Offensive,Away,Copenhagen,Algiers,2223
Denmark,Napoleonic Wars,1807,1814,7,Lost,United Kingdom,United Kingdom,European,Defensive,Home,Copenhagen,London,955
Denmark,First Schleswig War,1848,1850,2,Won,Prussia,Germany,European,Defensive,Home,Copenhagen,Berlin,355
Denmark,Second Schleswig War,1864,1864,1,Lost,Prussia,Germany,European,Defensive,Home,Copenhagen,Berlin,355
Denmark,World War II,1940,1945,5,Lost,Germany,Germany,European,Defensive,Home,Copenhagen,Berlin,355
Portugal,Portuguese Reconquista,1200,1249,49,Won,Almohad Caliphate,Morocco,Colonial / Eastern,Offensive,Home,Lisbon,Marrakesh,795
Portugal,Luso-Castilian War,1336,1339,3,Indecisive,Crown of Castile,Spain,European,Defensive,Home,Lisbon,Valladolid,496
Portugal,Battle of Aljubarrota,1383,1385,2,Won,Castile,Spain,European,Defensive,Home,Lisbon,Valladolid,496
Portugal,Conquest of Ceuta,1415,1415,1,Won,Marinid Sultanate,Morocco,Colonial / Eastern,Offensive,Away,Lisbon,Fez,639
Portugal,Portuguese Moroccan Campaigns,1458,1471,13,Won,Wattasid Morocco,Morocco,Colonial / Eastern,Offensive,Away,Lisbon,Fez,639
Portugal,War of the Castilian Succession,1475,1479,4,Lost,Spain,Spain,European,Offensive,Away,Lisbon,Valladolid,496
Portugal,Portuguese-Mamluk Naval War,1505,1517,12,Won,Mamluk Sultanate,Egypt,Colonial / Eastern,Offensive,Away,Lisbon,Cairo,3796
Portugal,Capture of Hormuz,1507,1515,8,Won,Safavid Persia,Iran,Colonial / Eastern,Offensive,Away,Lisbon,Isfahan,5434
Portugal,Conquest of Goa,1510,1510,1,Won,Bijapur Sultanate,India,Colonial / Eastern,Offensive,Away,Lisbon,Bijapur,8409
Portugal,Capture of Malacca,1511,1511,1,Won,Malacca Sultanate,Malaysia,Colonial / Eastern,Offensive,Away,Lisbon,Malacca,11686
Portugal,Ottoman-Portuguese Conflicts,1538,1559,21,Indecisive,Ottoman Empire,Turkey,Colonial / Eastern,Defensive,Away,Lisbon,Constantinople,3237
Portugal,France Antarctique,1555,1567,12,Won,France,France,European,Defensive,Away,Lisbon,Paris,1453
Portugal,Battle of Alcácer Quibir,1578,1578,1,Lost,Saadi Sultanate (Morocco),Morocco,Colonial / Eastern,Offensive,Away,Lisbon,Marrakesh,795
Portugal,Dutch-Portuguese War,1598,1663,65,Indecisive,Dutch Republic,Netherlands,European,Defensive,Away,Lisbon,The Hague,1812
Portugal,Fall of Hormuz,1602,1622,20,Lost,Safavid Persia,Iran,Colonial / Eastern,Defensive,Away,Lisbon,Isfahan,5434
Portugal,Portuguese Restoration War,1640,1668,28,Won,Spain,Spain,European,Defensive,Home,Lisbon,Madrid,503
Portugal,War of the Spanish Succession,1701,1714,13,Won,France,France,European,Offensive,Away,Lisbon,Paris,1453
Portugal,Seven Years' War,1762,1763,1,Won,Spain,Spain,European,Defensive,Home,Lisbon,Madrid,503
Portugal,War of the Oranges,1801,1801,1,Lost,France,France,European,Defensive,Home,Lisbon,Paris,1453
Portugal,Peninsular War,1808,1814,6,Won,France,France,European,Defensive,Home,Lisbon,Paris,1453
Portugal,Conquest of the Banda Oriental,1816,1820,4,Won,Banda Oriental,Uruguay,Colonial / Eastern,Offensive,Away,Lisbon,Montevideo,9505
Portugal,Brazilian War of Independence,1822,1825,3,Lost,Brazil,Brazil,Colonial / Eastern,Defensive,Away,Lisbon,Rio de Janeiro,7715
Portugal,Indian Annexation of Goa,1961,1961,1,Lost,India,India,Colonial / Eastern,Defensive,Away,Lisbon,New Delhi,7776
Portugal,Angolan War of Independence,1961,1974,13,Lost,MPLA,Angola,Colonial / Eastern,Defensive,Away,Lisbon,Luanda,5772
Portugal,Guinea-Bissau War of Independence,1963,1974,11,Lost,PAIGC,Guinea-Bissau,Colonial / Eastern,Defensive,Away,Lisbon,Bissau,3054
Portugal,Mozambican War of Independence,1964,1974,10,Lost,FRELIMO,Mozambique,Colonial / Eastern,Defensive,Away,Lisbon,Maputo,8400
Russia,Lithuanian-Muscovite War,1368,1372,4,Indecisive,Grand Duchy of Lithuania,Poland,European,Defensive,Home,Moscow,Vilnius,790
Russia,Battle of Kulikovo,1380,1380,1,Won,Golden Horde,,Colonial / Eastern,Defensive,Home,Moscow,Sarai,954
Russia,Great Stand on the Ugra River,1480,1480,1,Won,Golden Horde,,Colonial / Eastern,Defensive,Home,Moscow,Sarai,954
Russia,Russian-Livonian War,1480,1481,1,Won,Livonian Confederation,Estonia,European,Offensive,Away,Moscow,Riga,841
Russia,First Muscovite-Lithuanian War,1487,1494,7,Won,Grand Duchy of Lithuania,Poland,European,Offensive,Away,Moscow,Vilnius,790
Russia,Russo-Swedish War of 1495,1495,1497,2,Indecisive,Sweden,Sweden,European,Offensive,Away,Moscow,Stockholm,1226
Russia,Second Muscovite-Lithuanian War,1500,1503,3,Won,Grand Duchy of Lithuania,Poland,European,Offensive,Away,Moscow,Vilnius,790
Russia,Fourth Muscovite-Lithuanian War,1512,1522,10,Won,Poland-Lithuania,Poland,European,Offensive,Away,Moscow,Vilnius,790
Russia,Conquest of Kazan,1552,1552,1,Won,Khanate of Kazan,,Colonial / Eastern,Offensive,Away,Moscow,Kazan,717
Russia,Conquest of Astrakhan,1556,1556,1,Won,Astrakhan Khanate,,Colonial / Eastern,Offensive,Away,Moscow,Sarai,954
Russia,Livonian War,1558,1583,25,Lost,Poland-Lithuania,Poland,European,Offensive,Away,Moscow,Warsaw,1151
Russia,Conquest of the Siberian Khanate,1580,1598,18,Won,Khanate of Sibir,,Colonial / Eastern,Offensive,Away,Moscow,Tobolsk,1859
Russia,Polish Invasion of Russia,1605,1618,13,Lost,Poland-Lithuania,Poland,European,Defensive,Home,Moscow,Warsaw,1151
Russia,Ingrian War,1610,1617,7,Lost,Sweden,Sweden,European,Defensive,Home,Moscow,Stockholm,1226
Russia,Smolensk War,1632,1634,2,Lost,Poland-Lithuania,Poland,European,Offensive,Away,Moscow,Warsaw,1151
Russia,First Northern War,1654,1667,13,Won,Poland-Lithuania,Poland,European,Offensive,Away,Moscow,Warsaw,1151
Russia,Russo-Turkish War of 1676,1676,1681,5,Indecisive,Ottoman Empire,Turkey,Colonial / Eastern,Defensive,Home,Moscow,Constantinople,1756
Russia,Great Turkish War,1686,1700,14,Won,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,Moscow,Constantinople,1756
Russia,Great Northern War,1700,1721,21,Won,Sweden,Sweden,European,Offensive,Away,Moscow,Stockholm,1226
Russia,Persian Expedition of Peter,1722,1723,1,Won,Safavid Persia,Iran,Colonial / Eastern,Offensive,Away,St. Petersburg,Isfahan,3414
Russia,Russo-Turkish War of 1735,1735,1739,4,Won,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,St. Petersburg,Constantinople,2105
Russia,Russo-Swedish War of 1741,1741,1743,2,Won,Sweden,Sweden,European,Defensive,Away,St. Petersburg,Stockholm,690
Russia,Seven Years' War,1756,1762,6,Indecisive,Prussia,Germany,European,Offensive,Away,St. Petersburg,Berlin,1325
Russia,Russo-Turkish War of 1768,1768,1774,6,Won,Ottoman Empire,Turkey,Colonial / Eastern,Defensive,Away,St. Petersburg,Constantinople,2105
Russia,Russo-Turkish War of 1787,1787,1792,5,Won,Ottoman Empire,Turkey,Colonial / Eastern,Defensive,Away,St. Petersburg,Constantinople,2105
Russia,Russo-Swedish War of 1788,1788,1790,2,Indecisive,Sweden,Sweden,European,Defensive,Home,St. Petersburg,Stockholm,690
Russia,Russo-Persian War of 1804,1804,1813,9,Won,Qajar Persia,Iran,Colonial / Eastern,Offensive,Away,St. Petersburg,Tehran,3090
Russia,War of the Third Coalition,1805,1805,1,Lost,France,France,European,Offensive,Away,St. Petersburg,Paris,2163
Russia,War of the Fourth Coalition,1806,1807,1,Lost,France,France,European,Offensive,Away,St. Petersburg,Paris,2163
Russia,Russo-Turkish War of 1806,1806,1812,6,Won,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,St. Petersburg,Constantinople,2105
Russia,Finnish War,1808,1809,1,Won,Sweden,Sweden,European,Offensive,Away,St. Petersburg,Stockholm,690
Russia,French Invasion of Russia,1812,1812,1,Won,France,France,European,Defensive,Home,St. Petersburg,Paris,2163
Russia,War of the Sixth Coalition,1813,1814,1,Won,France,France,European,Offensive,Away,St. Petersburg,Paris,2163
Russia,Caucasian War,1817,1864,47,Won,Caucasian Imamate,,Colonial / Eastern,Offensive,Away,St. Petersburg,Shamakhi,2491
Russia,Russo-Persian War of 1826,1826,1828,2,Won,Qajar Persia,Iran,Colonial / Eastern,Offensive,Away,St. Petersburg,Tehran,3090
Russia,Russo-Turkish War of 1828,1828,1829,1,Won,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,St. Petersburg,Constantinople,2105
Russia,Hungarian Intervention,1849,1849,1,Won,Hungarian Revolutionaries,Hungary,European,Offensive,Away,St. Petersburg,Buda,1563
Russia,Crimean War,1853,1856,3,Lost,France,France,European,Defensive,Home,St. Petersburg,Paris,2163
Russia,Conquest of Kokand,1864,1876,12,Won,Khanate of Kokand,Uzbekistan,Colonial / Eastern,Offensive,Away,St. Petersburg,Qo'qon,3517
Russia,Conquest of Bukhara,1865,1868,3,Won,Emirate of Bukhara,Uzbekistan,Colonial / Eastern,Offensive,Away,St. Petersburg,Bukhara,3252
Russia,Khivan Campaign,1873,1873,1,Won,Khanate of Khiva,Uzbekistan,Colonial / Eastern,Offensive,Away,St. Petersburg,Khiva,2909
Russia,Russo-Turkish War of 1877,1877,1878,1,Won,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,St. Petersburg,Constantinople,2105
Russia,Russo-Japanese War,1904,1905,1,Lost,Japan,Japan,European,Offensive,Away,St. Petersburg,Tokyo,7594
Russia,World War I,1914,1917,3,Lost,Germany,Germany,European,Defensive,Home,St. Petersburg,Berlin,1325
Russia,Polish-Soviet War,1919,1921,2,Lost,Poland,Poland,European,Offensive,Away,Moscow,Warsaw,1151
Russia,Soviet-Japanese Border Conflicts,1938,1939,1,Won,Japan,Japan,Colonial / Eastern,Defensive,Away,Moscow,Tokyo,7478
Russia,Winter War,1939,1940,1,Indecisive,Finland,Finland,European,Offensive,Away,Moscow,Helsinki,892
Russia,World War II,1941,1945,4,Won,Germany,Germany,European,Defensive,Home,Moscow,Berlin,1609
Russia,Soviet-Japanese War,1945,1945,1,Won,Japan,Japan,Colonial / Eastern,Offensive,Away,Moscow,Tokyo,7478
Russia,Invasion of Czechoslovakia,1968,1968,1,Won,Czechoslovakia,Czechoslovakia,European,Offensive,Away,Moscow,Prague,1667
Russia,Soviet-Afghan War,1979,1989,10,Lost,Afghan Mujahideen,Afghanistan,Colonial / Eastern,Offensive,Away,Moscow,Kabul,3366
Ottoman/Turkey,Battle of Bapheus,1302,1302,1,Won,Byzantine Empire,Turkey,European,Offensive,Away,Söğüt,Constantinople,148
Ottoman/Turkey,Siege of Bursa,1317,1326,9,Won,Byzantine Empire,Turkey,European,Offensive,Away,Söğüt,Constantinople,148
Ottoman/Turkey,Ottoman Conquest of the Balkans,1362,1389,27,Won,Serbia,Serbia,European,Offensive,Away,Bursa,Constantinople,92
Ottoman/Turkey,Crusade of Nicopolis,1396,1396,1,Won,Hungary,Hungary,European,Defensive,Home,Edirne,Buda,878
Ottoman/Turkey,Ottoman-Timurid War,1399,1402,3,Lost,Timurid Empire,,Colonial / Eastern,Defensive,Home,Edirne,Sarai,1643
Ottoman/Turkey,Crusade of Varna,1443,1444,1,Won,Hungary,Hungary,European,Defensive,Home,Edirne,Buda,878
Ottoman/Turkey,Fall of Constantinople,1453,1453,1,Won,Byzantine Empire,Turkey,European,Offensive,Away,Constantinople,Constantinople,0
Ottoman/Turkey,First Ottoman-Venetian War,1463,1479,16,Won,Venice,Italy,European,Offensive,Away,Constantinople,Venice,1432
Ottoman/Turkey,Ottoman-Safavid War of 1514,1514,1514,1,Won,Safavid Persia,Iran,Colonial / Eastern,Offensive,Away,Constantinople,Tabriz,1516
Ottoman/Turkey,Ottoman-Mamluk War,1516,1517,1,Won,Mamluk Sultanate,Egypt,Colonial / Eastern,Offensive,Away,Constantinople,Cairo,1236
Ottoman/Turkey,Siege of Belgrade,1521,1521,1,Won,Kingdom of Hungary,Hungary,European,Offensive,Away,Constantinople,Buda,1069
Ottoman/Turkey,Siege of Rhodes,1522,1522,1,Won,Knights Hospitaller,,European,Offensive,Away,Constantinople,Rome,1374
Ottoman/Turkey,Battle of Mohács,1526,1526,1,Won,Kingdom of Hungary,Hungary,European,Offensive,Away,Constantinople,Buda,1069
Ottoman/Turkey,First Siege of Vienna,1529,1529,1,Lost,Habsburg Austria,Austria,European,Offensive,Away,Constantinople,Vienna,1276
Ottoman/Turkey,Spanish-Ottoman Wars,1529,1574,45,Indecisive,Spain,Spain,European,Defensive,Home,Constantinople,Madrid,2738
Ottoman/Turkey,Ottoman-Safavid War of 1532,1532,1555,23,Won,Safavid Persia,Iran,Colonial / Eastern,Offensive,Away,Constantinople,Tabriz,1516
Ottoman/Turkey,Italian War of 1542,1542,1546,4,Indecisive,Spain,Spain,European,Offensive,Away,Constantinople,Madrid,2738
Ottoman/Turkey,Great Siege of Malta,1565,1565,1,Lost,Spain,Spain,European,Offensive,Away,Constantinople,Madrid,2738
Ottoman/Turkey,Fourth Ottoman-Venetian War,1570,1573,3,Won,Venice,Italy,European,Offensive,Away,Constantinople,Venice,1432
Ottoman/Turkey,Ottoman-Safavid War of 1578,1578,1590,12,Won,Safavid Persia,Iran,Colonial / Eastern,Offensive,Away,Constantinople,Isfahan,2215
Ottoman/Turkey,Long Turkish War,1593,1606,13,Indecisive,Habsburg Austria,Austria,European,Defensive,Home,Constantinople,Vienna,1276
Ottoman/Turkey,Ottoman-Safavid War of 1603,1603,1618,15,Lost,Safavid Persia,Iran,Colonial / Eastern,Defensive,Away,Constantinople,Isfahan,2215
Ottoman/Turkey,Polish-Ottoman War of 1620,1620,1621,1,Indecisive,Poland-Lithuania,Poland,European,Offensive,Away,Constantinople,Warsaw,1386
Ottoman/Turkey,Ottoman-Safavid War of 1623,1623,1639,16,Won,Safavid Persia,Iran,Colonial / Eastern,Offensive,Away,Constantinople,Isfahan,2215
Ottoman/Turkey,War of Candia,1645,1669,24,Won,Venice,Italy,European,Offensive,Away,Constantinople,Venice,1432
Ottoman/Turkey,Austro-Turkish War of 1663,1663,1664,1,Won,Habsburg Austria,Austria,European,Offensive,Away,Constantinople,Vienna,1276
Ottoman/Turkey,Polish-Ottoman War of 1672,1672,1676,4,Won,Poland-Lithuania,Poland,European,Offensive,Away,Constantinople,Warsaw,1386
Ottoman/Turkey,Russo-Turkish War of 1676,1676,1681,5,Indecisive,Russia,Russia,European,Offensive,Away,Constantinople,Moscow,1756
Ottoman/Turkey,Great Turkish War,1683,1699,16,Lost,Habsburg Austria,Austria,European,Offensive,Away,Constantinople,Vienna,1276
Ottoman/Turkey,Russo-Turkish War of 1710,1710,1711,1,Won,Russia,Russia,European,Defensive,Home,Constantinople,Moscow,1756
Ottoman/Turkey,Ottoman-Venetian War of 1714,1714,1718,4,Won,Venice,Italy,European,Offensive,Away,Constantinople,Venice,1432
Ottoman/Turkey,Austro-Turkish War of 1716,1716,1718,2,Lost,Habsburg Austria,Austria,European,Defensive,Home,Constantinople,Vienna,1276
Ottoman/Turkey,Ottoman-Safavid War of 1730,1730,1735,5,Lost,Afsharid Persia,Iran,Colonial / Eastern,Defensive,Home,Constantinople,Isfahan,2215
Ottoman/Turkey,Russo-Turkish War of 1735,1735,1739,4,Indecisive,Russia,Russia,European,Defensive,Home,Constantinople,St. Petersburg,2105
Ottoman/Turkey,Austro-Turkish War of 1737,1737,1739,2,Won,Habsburg Austria,Austria,European,Defensive,Home,Constantinople,Vienna,1276
Ottoman/Turkey,Russo-Turkish War of 1768,1768,1774,6,Lost,Russia,Russia,European,Offensive,Away,Constantinople,St. Petersburg,2105
Ottoman/Turkey,Russo-Turkish War of 1787,1787,1792,5,Lost,Russia,Russia,European,Defensive,Home,Constantinople,St. Petersburg,2105
Ottoman/Turkey,French Invasion of Egypt,1798,1801,3,Won,France,France,European,Defensive,Home,Constantinople,Paris,2255
Ottoman/Turkey,Russo-Turkish War of 1806,1806,1812,6,Lost,Russia,Russia,European,Defensive,Home,Constantinople,St. Petersburg,2105
Ottoman/Turkey,Greek War of Independence,1821,1832,11,Lost,Greece,Greece,European,Defensive,Home,Constantinople,Athens,562
Ottoman/Turkey,Russo-Turkish War of 1828,1828,1829,1,Lost,Russia,Russia,European,Defensive,Home,Constantinople,St. Petersburg,2105
Ottoman/Turkey,Egyptian-Ottoman War of 1831,1831,1833,2,Lost,Egypt,Egypt,Colonial / Eastern,Defensive,Home,Constantinople,Cairo,1236
Ottoman/Turkey,Egyptian-Ottoman War of 1839,1839,1841,2,Won,Egypt,Egypt,Colonial / Eastern,Offensive,Home,Constantinople,Cairo,1236
Ottoman/Turkey,Crimean War,1853,1856,3,Won,Russia,Russia,European,Defensive,Home,Constantinople,St. Petersburg,2105
Ottoman/Turkey,Russo-Turkish War of 1877,1877,1878,1,Lost,Russia,Russia,European,Defensive,Home,Constantinople,St. Petersburg,2105
Ottoman/Turkey,Greco-Turkish War of 1897,1897,1897,1,Won,Greece,Greece,European,Defensive,Home,Constantinople,Athens,562
Ottoman/Turkey,Italo-Turkish War,1911,1912,1,Lost,Italy,Italy,European,Defensive,Home,Constantinople,Rome,1374
Ottoman/Turkey,First Balkan War,1912,1913,1,Lost,Greece,Greece,European,Defensive,Home,Constantinople,Athens,562
Ottoman/Turkey,Second Balkan War,1913,1913,1,Won,Bulgaria,Bulgaria,European,Offensive,Away,Constantinople,Athens,562
Ottoman/Turkey,World War I,1914,1918,4,Lost,United Kingdom,United Kingdom,European,Defensive,Home,Constantinople,London,2500
Ottoman/Turkey,Turkish War of Independence,1919,1922,3,Won,Greece,Greece,European,Defensive,Home,Constantinople,Athens,562
Ottoman/Turkey,Turkish Invasion of Cyprus,1974,1974,1,Won,Cyprus,Cyprus,European,Offensive,Away,Ankara,Nicosia,531
Austria,Fifth Crusade,1217,1221,4,Lost,Ayyubid Sultanate,Egypt,Colonial / Eastern,Offensive,Away,Vienna,Cairo,2383
Austria,Mongol Invasion of Europe,1241,1242,1,Won,Mongol Empire (Golden Horde),,Colonial / Eastern,Defensive,Home,Vienna,Sarai,2117
Austria,Austrian-Hungarian War,1246,1254,8,Won,Kingdom of Hungary,Hungary,European,Defensive,Home,Vienna,Buda,214
Austria,Habsburg-Přemyslid War,1278,1278,1,Won,Kingdom of Bohemia,Czech Republic,European,Defensive,Home,Vienna,Prague,250
Austria,Battle of Morgarten,1315,1315,1,Lost,Swiss Confederacy,Switzerland,European,Offensive,Away,Vienna,Bern,683
Austria,Battle of Sempach,1386,1386,1,Lost,Swiss Confederacy,Switzerland,European,Offensive,Away,Vienna,Bern,683
Austria,Burgundian Wars,1474,1477,3,Won,Burgundian State,Belgium,European,Offensive,Away,Vienna,Dijon,851
Austria,War of the Burgundian Succession,1477,1482,5,Lost,France,France,European,Defensive,Away,Vienna,Paris,1033
Austria,Austrian-Hungarian War of 1477,1477,1488,11,Lost,Kingdom of Hungary,Hungary,European,Defensive,Home,Vienna,Buda,214
Austria,Austrian-Hungarian War of 1490,1490,1491,1,Won,Kingdom of Hungary,Hungary,European,Offensive,Away,Vienna,Buda,214
Austria,Swabian War,1499,1499,1,Lost,Swiss Confederacy,Switzerland,European,Offensive,Away,Vienna,Bern,683
Austria,Ottoman-Habsburg War of 1526,1526,1533,7,Lost,Ottoman Empire,Turkey,Colonial / Eastern,Defensive,Home,Vienna,Constantinople,1276
Austria,Ottoman-Habsburg War of 1536,1536,1547,11,Lost,Ottoman Empire,Turkey,Colonial / Eastern,Defensive,Home,Vienna,Constantinople,1276
Austria,Ottoman-Habsburg War of 1551,1551,1562,11,Lost,Ottoman Empire,Turkey,Colonial / Eastern,Defensive,Home,Vienna,Constantinople,1276
Austria,Ottoman-Habsburg War of 1566,1566,1568,2,Lost,Ottoman Empire,Turkey,Colonial / Eastern,Defensive,Home,Vienna,Constantinople,1276
Austria,Long Turkish War,1593,1606,13,Indecisive,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,Vienna,Constantinople,1276
Austria,Thirty Years' War,1618,1648,30,Indecisive,Sweden,Sweden,European,Defensive,Home,Vienna,Stockholm,1241
Austria,Austro-Turkish War of 1663,1663,1664,1,Won,Ottoman Empire,Turkey,Colonial / Eastern,Defensive,Home,Vienna,Constantinople,1276
Austria,Franco-Dutch War,1673,1679,6,Lost,France,France,European,Offensive,Away,Vienna,Paris,1033
Austria,War of the Reunions,1683,1684,1,Lost,France,France,European,Defensive,Home,Vienna,Paris,1033
Austria,Great Turkish War,1683,1699,16,Won,Ottoman Empire,Turkey,Colonial / Eastern,Defensive,Home,Vienna,Constantinople,1276
Austria,Nine Years' War,1688,1697,9,Indecisive,France,France,European,Offensive,Away,Vienna,Paris,1033
Austria,War of the Spanish Succession,1701,1714,13,Won,France,France,European,Offensive,Away,Vienna,Paris,1033
Austria,Austro-Turkish War of 1716,1716,1718,2,Won,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,Vienna,Constantinople,1276
Austria,War of the Quadruple Alliance,1718,1720,2,Won,Spain,Spain,European,Offensive,Away,Vienna,Madrid,1808
Austria,War of the Polish Succession,1733,1735,2,Won,France,France,European,Offensive,Away,Vienna,Paris,1033
Austria,Austro-Turkish War of 1737,1737,1739,2,Lost,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,Vienna,Constantinople,1276
Austria,War of the Austrian Succession,1740,1748,8,Won,Prussia,Germany,European,Defensive,Home,Vienna,Berlin,523
Austria,Seven Years' War,1756,1763,7,Indecisive,Prussia,Germany,European,Offensive,Away,Vienna,Berlin,523
Austria,Austro-Turkish War of 1788,1788,1791,3,Won,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,Vienna,Constantinople,1276
Austria,War of the First Coalition,1792,1797,5,Lost,France,France,European,Offensive,Away,Vienna,Paris,1033
Austria,War of the Second Coalition,1799,1801,2,Lost,France,France,European,Offensive,Away,Vienna,Paris,1033
Austria,War of the Third Coalition,1805,1805,1,Lost,France,France,European,Offensive,Away,Vienna,Paris,1033
Austria,War of the Fifth Coalition,1809,1809,1,Lost,France,France,European,Offensive,Away,Vienna,Paris,1033
Austria,War of the Sixth Coalition,1813,1814,1,Won,France,France,European,Offensive,Away,Vienna,Paris,1033
Austria,War of the Seventh Coalition,1815,1815,1,Won,France,France,European,Offensive,Away,Vienna,Paris,1033
Austria,First Italian War of Independence,1848,1849,1,Won,Kingdom of Sardinia,Italy,European,Defensive,Away,Vienna,Turin,748
Austria,Second Italian War of Independence,1859,1859,1,Lost,France,France,European,Defensive,Away,Vienna,Paris,1033
Austria,Second Schleswig War,1864,1864,1,Won,Denmark,Denmark,European,Offensive,Away,Vienna,Copenhagen,870
Austria,Austro-Prussian War,1866,1866,1,Lost,Prussia,Germany,European,Defensive,Home,Vienna,Berlin,523
Austria,Occupation of Bosnia-Herzegovina,1878,1878,1,Won,Bosnian resistance,Bosnia and Herzegovina,Colonial / Eastern,Offensive,Away,Vienna,Sarajevo,508
Austria,World War I,1914,1918,4,Lost,Russia,Russia,European,Offensive,Away,Vienna,Belgrade,492
Austria,World War II (Anschluss),1938,1945,7,Lost,Germany,Germany,European,Defensive,Home,Vienna,Berlin,523
